close,high,low,open,symbol,volume,id,key,subkey,date,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
35.79,36.05,35.24,35.52,BAC,45901659,HISTORICAL_PRICES,BAC,,2021-03-01,1622765767000,0.1918081918081917,0.1918081918081917,35.52,35.79,36.05,35.24,45901659,35.1963,35.4638,35.7215,34.9188,45901659,"Mar 1, 21",1.0799999999999983,0.0311
35.53,35.94,35.5,35.65,BAC,41167417,HISTORICAL_PRICES,BAC,,2021-03-02,1622765762000,0.1831501831501831,0.1831501831501831,35.65,35.53,35.94,35.5,41167417,35.3251,35.2062,35.6125,35.1765,41167417,"Mar 2, 21",-0.259999999999998,-0.0073
36.42,36.97,35.84,35.97,BAC,66046957,HISTORICAL_PRICES,BAC,,2021-03-03,1622765777000,0.2127872127872128,0.2127872127872128,35.97,36.42,36.97,35.84,66046957,35.6422,36.0881,36.6331,35.5134,66046957,"Mar 3, 21",0.8900000000000006,0.025
36.5,36.87,35.92,36.14,BAC,96512823,HISTORICAL_PRICES,BAC,,2021-03-04,1622765801000,0.2154512154512154,0.2154512154512154,36.14,36.5,36.87,35.92,96512823,35.9885,36.347,36.7154,35.7694,96512823,"Mar 4, 21",0.0799999999999983,0.0022
36.93,37.6,36.17,37.03,BAC,74292325,HISTORICAL_PRICES,BAC,,2021-03-05,1622765801000,0.2297702297702297,0.2297702297702297,37.03,36.93,37.6,36.17,74292325,36.8748,36.7752,37.4424,36.0184,74292325,"Mar 5, 21",0.4299999999999997,0.0118
37.13,37.73,36.82,37.38,BAC,65335453,HISTORICAL_PRICES,BAC,,2021-03-08,1622765767000,0.2364302364302364,0.2364302364302364,37.38,37.13,37.73,36.82,65335453,37.2233,36.9744,37.5718,36.6657,65335453,"Mar 8, 21",0.2000000000000028,0.0054
36.32,37.16,35.81,36.55,BAC,63946003,HISTORICAL_PRICES,BAC,,2021-03-09,1622765796000,0.2094572094572094,0.2094572094572094,36.55,36.32,37.16,35.81,63946003,36.3968,36.1678,37.0042,35.6599,63946003,"Mar 9, 21",-0.8100000000000023,-0.0218
37.37,37.53,36.37,36.54,BAC,53365578,HISTORICAL_PRICES,BAC,,2021-03-10,1622765796000,0.2444222444222442,0.2444222444222442,36.54,37.37,37.53,36.37,53365578,36.3868,37.2133,37.3727,36.2175,53365578,"Mar 10, 21",1.0499999999999972,0.0289
37.24,37.79,36.85,37.27,BAC,45833982,HISTORICAL_PRICES,BAC,,2021-03-11,1622765785000,0.2400932400932401,0.2400932400932401,37.27,37.24,37.79,36.85,45833982,37.1138,37.0839,37.6316,36.6955,45833982,"Mar 11, 21",-0.1299999999999954,-0.0035
37.94,38.1766,37.58,37.92,BAC,46069550,HISTORICAL_PRICES,BAC,,2021-03-12,1622765762000,0.2634032634032632,0.2634032634032632,37.92,37.94,38.1766,37.58,46069550,37.761,37.781,38.0166,37.4225,46069550,"Mar 12, 21",0.6999999999999957,0.0188
